from,to,relationship
lebe,yumi,1
zare,imperium,1
sahü23,schneider,1
feka,players,1
meba,imperium,1
chhü23,britta,1
jötr23,players,1
ulkr,carola,1
hild,divina,1
albs23,lambsdorff,1
cles,lambsdorff,1
maeg,britta,1
saro,players,1
luwe,yumi,1
olma21,players,1
dast,players,1
jani21,agenten,1
lois,yumi,1
mebe21,players,1
bimi21,players,1
thme,felixblock,1
hapr,stibitz,1
mipe,schlag,1
toms,players,1
sebl21,agenten,1
dars,emptage,1
lehrer,lebe,2
lehrer,lest,2
westen,feka,2
westen,albs23,2
spider,zare,2
spider,meba,2
mensch,maeg,2
mensch,dast,2
fabian,toms,2
fabian,saro,2
fabian,albs21,2
curveball,sebl21,2
curveball,dars,2
sisi,sahü23,2
mittag,chhü23,2
karl,luwe,2
karl,jani21,2
enfant,olma21,2
fabian,mebe21,3
curveball,thme,3
mittag,hild,3
land,jötr23,3
schön,ulkr,3
papa,cles,3
sehen,kama,3
karl,mipe,3
enfant,hapr,3
ivie,lois,3
schach,bimi21,3
heze,above,1
anra,players,1
alse,crush,1
albs20a,lambsdorff,1
webu,subtitle,1
jabu,players,1
gama,lux,1
jeha20,lastrada,1
liha,schneider,1
gogi,schneider,1
paal,above,1
suwo,schneider,1
aesc,britta,1
luhe19a,fitz,1
alsc19,stelljes,1
rabo19,players,1
joda,agenten,1
mati,siefert,1
evwe,gold,1
alfe19,hoester,1
mawu,talent,1
olma19,players,1
anun,schneider,1
juwe,ahrweiler,1
webu,berlin,2
albs20a,system,2
heze,system,2
anra,wort,2
ogar,wort,2
alsc19,gunde,2
suwo,styx,2
anun,gunde,2
juwe,gunde,2
alse,gipsy,2
jabu,linden,2
joda,handschuh,2
rabo19,atlas,2
luhe19a,paar,2
aesc,gut,2
jeha20,berlin,3
albs20b,berlin,3
gama,system,3
liha,system,3
gogi,wort,3
evwe,gunde,3
luhe19b,junge,3
paal,newyork,3
mati,handschuh,3
alfe19,ende,3
mawu,weichei,3
olma19,autor,3
mabä,players,1
dikr,eick,1
kiri,stelljes,1
frro18,players,1
anlu,stibitz,1
olma18,players,1
bimi18,players,1
coki,divina,1
rogw,gwisdek,1
chhü18,britta,1
alfe18,hoester,1
sahü18,schneider,1
sahü17,schneider,1
juje,vogel,1
list,wasted,1
pesi,goldschmidt,1
laei,schneider,1
brga,baumbauer,1
frha,agenten,1
evlö,talent,1
gefr17,divina,1
rabo17,players,1
mafe,sutter,1
demo,players,1
bjmä,schott,1
mabä,quiberon,2
dikr,nichts,2
mene,western,2
syalle,western,2
rewe,western,2
sahü17,erdmann,2
pesi,erdmann,2
juje,24,2
list,wild,2
bjmä,24,2
kiri,back,2
frro18,gängen,2
anlu,casting,2
olma18,zeiten,2
laei,blumen,2
sima,blumen,2
brga,licht,2
gefr17,wild,3
bimi18,quiberon,3
rogw,quiberon,3
chhü18,quiberon,3
frha,nebel,3
evlö,einsamkeit,3
rabo17,einsamkeit,3
mafe,wunderlichs,3
coki,casting,3
sahü18,gängen,3
alfe18,hauptmann,3
laco,hodell,1
kamasc,rudorff,1
niho,players,1
niku,schlag,1
clme,lentz,1
mebe15,players,1
felau,players,1
cfri,players,1
hako15,stelljes,1
joba,yumi,1
bukl15,schlag,1
jötr14,players,1
caju,schneider,1
jukö,players,1
sahü14,players,1
jeha14,lastrada,1
kari,agenten,1
diha,neidig,1
saalge,lambsdorff,1
hako14,stelljes,1
tomo,lambsdorff,1
mima,agenten,1
kikhra,talent,1
frro15,players,1
buyi,underplay,1
mama,yumi,1
felau,players,1
sebl15,agenten,1
kasc,players,1
dest,agenten,1
anbi,fitz,1
mabr,britta,1
masc,funke,1
sari,tavistock,1
pabe,lambsdorff,1
kedu,schlag,1
svno,scandinavia,1
victoria,frro15,2
victoria,buyi,2
victoria,mama,2
victoria,laco,2
victoria,felau,2
jack,ivpi,2
jack,gear,2
zeit,sebl15,2
zeit,kasc,2
zeit,dest,2
heimat,anbi,2
heimat,mabr,2
heimat,jadisc,2
heimat,masc,2
tal,sari,2
tal,pabe,2
zwei,kedu,2
zwei,svno,2
zwei,jukö,2
jötr14,westen,2
caju,feucht,2
jukö,zwei,2
diha,rennen,2
saalge,jahre,2
hako14,fall,2
sahü14,finster,3
jeha14,fack,3
kari,fack,3
mima,finster,3
kikhra,ummah,3
kamasc,geschenk,2
niho,phoenix,2
cfri,welt,2
hako15,härte,2
niku,phoenix,3
clme,schwestern,3
mebe15,lügen,3
joba,jung,3
bukl15,welt,3
gevo,labyrinth,3
tomo,tal,3
melka,stelljes,1
urst,agenten,1
jeha22,lastrada,1
ansc,vogel,1
sahü22,schneider,1
albs22,lambsdorff,1
fadi,adam,1
alsc22,stelljes,1
jösc,ensemble,1
hehü,hübchen,1
frro22,players,1
gefr22,divina,1
lieber,albs22,2
rabiye,melka,2
freiheit,frro22,2
freiheit,gefr22,2
fadi,tou,2
schwarz,sahü22,3
leander,hehü,3
lieber,jeha22,3
lieber,ansc,3
rabiye,alsc22,3
lieber,jösc,3
lauto,heppeler,1
liwe,reimann,1
anki,rudorff,1
jötr16,players,1
roth,players,1
peku,schott,1
olma16,players,1
roze,players,1
fabu,above,1
jani16,agenten,1
jeha16,lastrada,1
pabe,lambsdorff,1
mole,könige,2
jani16,könige,2
jeha16,könige,2
pabe,könige,2
peku,herbert,2
bukl16,staat,2
olma16,wieder,2
lauto,heidi,2
jötr16,atem,2
roth,grüsse,2
lauto,mängel,2
miny,colonia,2
fabu,wieder,2
liwe,herbert,2
roze,staat,2
anki,könige,2
saro,niemand,2
urst,prince,2
safa,nico,2
