from,to,relationship,year,winner
lebe,yumi,1,99,99
zare,imperium,1,99,99
sahü,schneider,1,99,99
feka,players,1,99,99
meba,imperium,1,99,99
chhü,britta,1,99,99
jötr,players,1,99,99
ulkr,carola,1,99,99
hild,divina,1,99,99
albs,lambsdorff,1,99,99
cles,lambsdorff,1,99,99
maeg,britta,1,99,99
saro,players,1,99,99
luwe,yumi,1,99,99
olma,players,1,99,99
dast,players,1,99,99
jani,agenten,1,99,99
lois,yumi,1,99,99
mebe,players,1,99,99
bimi,players,1,99,99
thme,felixblock,1,99,99
hapr,stibitz,1,99,99
mipe,schlag,1,99,99
toms,players,1,99,99
sebl,agenten,1,99,99
dars,emptage,1,99,99
lehrer,lebe,2,2023,2
lehrer,lest,2,2023,1
imwesten,feka,2,2023,2
imwesten,albs,2,2023,2
spider,zare,2,2023,1
spider,meba,2,2023,1
mensch,maeg,2,2021,2
mensch,dast,2,2021,1
fabian,toms,2,2021,1
fabian,saro,2,2021,1
fabian,albs,2,2021,2
curveball,sebl,2,2021,1
curveball,dars,2,2021,1
sisi,sahü,2,2023,1
mittag,chhü,2,2023,1
karl,luwe,2,2021,1
karl,jani,2,2021,1
enfant,olma,2,2021,2
fabian,mebe,3,2021,1
curveball,thme,3,2021,2
mittag,hild,3,2023,1
land,jötr,3,2023,2
schön,ulkr,3,2023,1
papa,cles,3,2023,1
sehen,kama,3,2023,1
karl,mipe,3,2021,1
enfant,hapr,3,2021,1
ivie,lois,3,2021,2
schach,bimi,3,2021,1
heze,above,1,99,99
anra,players,1,99,99
alse,crush,1,99,99
webu,subtitle,1,99,99
jabu,players,1,99,99
gama,lux,1,99,99
jeha,lastrada,1,99,99
liha,schneider,1,99,99
gogi,schneider,1,99,99
paal,above,1,99,99
suwo,schneider,1,99,99
aesc,britta,1,99,99
luhe,fitz,1,99,99
alsc,stelljes,1,99,99
rabo,players,1,99,99
joda,agenten,1,99,99
mati,siefert,1,99,99
evwe,gold,1,99,99
alfe,hoester,1,99,99
mawu,talent,1,99,99
olma,players,1,99,99
anun,schneider,1,99,99
juwe,ahrweiler,1,99,99
webu,berlin,2,2020,1
albs,system,2,2020,2
heze,system,2,2020,2
anra,wort,2,2020,1
ogar,wort,2,2020,1
alsc,gunde,2,2019,2
suwo,styx,2,2019,2
anun,gunde,2,2019,1
juwe,gunde,2,2019,1
alse,gipsy,2,2020,1
jabu,linden,2,2020,1
joda,handschuh,2,2019,1
rabo,atlas,2,2019,1
luhe,paar,2,2019,2
aesc,gut,2,2019,1
jeha,berlin,3,2020,1
albs,berlin,3,2020,2
gama,system,3,2020,2
liha,system,3,2020,1
gogi,wort,3,2020,1
evwe,gunde,3,2019,1
luhe,junge,3,2019,2
paal,newyork,3,2020,1
mati,handschuh,3,2019,1
alfe,ende,3,2019,2
mawu,weichei,3,2019,1
olma,autor,3,2019,1
mabä,players,1,99,99
dikr,eick,1,99,99
kiri,stelljes,1,99,99
frro,players,1,99,99
anlu,stibitz,1,99,99
olma,players,1,99,99
bimi,players,1,99,99
coki,divina,1,99,99
rogw,gwisdek,1,99,99
sahü,schneider,1,99,99
juje,vogel,1,99,99
list,wasted,1,99,99
pesi,goldschmidt,1,99,99
laei,schneider,1,99,99
brga,baumbauer,1,99,99
frha,agenten,1,99,99
evlö,talent,1,99,99
gefr,divina,1,99,99
rabo,players,1,99,99
mafe,sutter,1,99,99
demo,players,1,99,99
bjmä,schott,1,99,99
mabä,quiberon,2,2018,2
dikr,nichts,2,2018,1
mene,western,2,2018,2
syalle,western,2,2018,2
rewe,western,2,2018,2
sahü,erdmann,2,2017,2
pesi,erdmann,2,2017,2
juje,24,2,2017,1
list,wild,2,2017,1
bjmä,24,2,2017,1
kiri,back,2,2018,1
frro,gängen,2,2018,2
anlu,casting,2,2018,1
olma,zeiten,2,2018,1
laei,blumen,2,2017,1
sima,blumen,2,2017,1
brga,licht,2,2017,1
gefr,wild,3,2017,2
bimi,quiberon,3,2018,2
rogw,quiberon,3,2018,2
chhü,quiberon,3,2018,1
frha,nebel,3,2017,2
evlö,einsamkeit,3,2017,1
