,name,sex,role,birth,type,prize,education,location
lebe,Leonie Benesch,1,1,1991,1,99,1,99
zare,Zar Amir Ebrahimi,1,1,1981,1,99,1,99
sahü,Sandra Hüller,1,1,1978,1,99,2,99
feka,Felix Kammerer,2,1,1995,1,99,1,99
meba,Mehdi Bajestani,2,1,1975,1,99,99,99
chhü,Charly Hübner,2,1,1972,1,99,2,99
jötr,Jördis Triebel,1,2,1977,1,99,2,99
ulkr,Ulrike Kriener,1,2,1954,1,99,1,99
hild,Hildegard Schmahl,1,2,1940,1,99,1,99
cles,Clemens Schick,2,2,1972,1,99,2,99
kama,Karl Markovics,2,2,1963,1,99,3,99
lest,Leonard Stettnisch,2,1,99,1,99,3,99
melka,Meltem Kaptan,1,1,1980,1,99,1,99
safa,Sara Fazilat,1,1,1987,1,99,3,99
urst,Ursula Strauss,1,1,1974,1,99,1,99
ansc,Anja Schneider,1,2,1977,1,99,2,99
fadi,Farba Dieng,2,1,1993,1,99,99,99
jösc,Jörg Schüttauf,2,2,1961,1,99,2,99
hehü,Henry Hübchen,2,2,1947,1,99,3,99
maeg,Maren Eggert,1,1,1974,1,99,1,99
saro,Saskia Rosendahl,1,1,1993,1,99,3,99
luwe,Luna Wedler,1,1,1999,1,99,1,99
olma,Oliver Masucci,2,1,1968,1,99,2,99
dast,Dan Stevens,2,1,1982,1,99,1,99
jani,Jannis Niewöhner,2,1,1992,1,99,3,99
lois,Lorna Ishema,1,2,1989,1,99,2,99
thme,Thorsten Merten,2,2,1963,1,99,1,99
hapr,Hary Prinz,2,2,1965,1,99,1,99
mipe,Milan Peschel,2,2,1968,1,99,2,99
toms,Tom Schilling,2,1,1982,1,99,2,99
sebl,Sebastian Blomberg,2,1,1972,1,99,2,99
dars,Dar Salim,2,1,1977,1,99,1,99
albs,Albrecht Schuch,2,1,1985,1,99,2,99
webu,Welket Bungué,2,1,1988,1,99,2,99
jabu,Jan Bülow,2,1,1996,1,99,2,99
heze,Helena Zengel,1,1,2008,1,99,3,99
anra,Anne Ratte-Polle,1,1,1974,1,99,1,99
alse,Alina Serban,1,1,1987,1,99,2,99
gama,Gabriela Maria Schmeide,1,2,1965,1,99,2,99
