id,name,sex,role,year,birth,type,prize,education,location
lebe,Leonie Benesch,1,1,2023,1991,1,1,1,NA
zare,Zar Amir Ebrahimi,1,1,2023,1981,1,NA,1,NA
sahü23,Sandra Hüller,1,1,2023,1978,1,NA,2,NA
feka,Felix Kammerer,2,1,2023,1995,1,1,1,NA
meba,Mehdi Bajestani,2,1,2023,1975,1,NA,NA,NA
chhü23,Charly Hübner,2,1,2023,1972,1,NA,2,NA
jötr23,Jördis Triebel,1,2,2023,1977,1,1,2,NA
ulkr,Ulrike Kriener,1,2,2023,1954,1,NA,1,NA
hild,Hildegard Schmahl,1,2,2023,1940,1,NA,1,NA
albs23,Albrecht Schuch,2,2,2023,1985,1,1,2,NA
cles,Clemens Schick,2,2,2023,1972,1,NA,2,NA
kama,Karl Markovics,2,2,2023,1963,1,NA,3,NA
lest,Leonard Stettnisch,2,1,2023,NA,1,NA,3,NA
melka,Meltem Kaptan,1,1,2022,1980,1,1,1,NA
safa,Sara Fazilat,1,1,2022,1987,1,NA,3,NA
urst,Ursula Strauss,1,1,2022,1974,1,NA,1,NA
jeha22,Jella Haase,1,2,2022,1992,1,1,3,NA
ansc,Anja Schneider,1,2,2022,1977,1,NA,2,NA
sahü22,Sandra Hüller,1,2,2022,1978,1,NA,2,NA
albs22,Albrecht Schuch,2,1,2022,1985,1,1,2,NA
fadi,Farba Dieng,2,1,2022,1993,1,NA,NA,NA
alsc22,Alexander Scheer,2,2,2022,1976,1,1,3,NA
jösc,Jörg Schüttauf,2,2,2022,1961,1,NA,2,NA
hehü,Henry Hübchen,2,2,2022,1947,1,NA,3,NA
frro22,Franz Rogowski,2,1,2022,1986,1,NA,3,NA
gefr22,Georg Friedrich,2,1,2022,1966,1,NA,2,NA
maeg,Maren Eggert,1,1,2021,1974,1,1,1,NA
saro,Saskia Rosendahl,1,1,2021,1993,1,NA,3,NA
luwe,Luna Wedler,1,1,2021,1999,1,NA,1,NA
olma21,Oliver Masucci,2,1,2021,1968,1,1,2,NA
dast,Dan Stevens,2,1,2021,1982,1,NA,1,NA
jani21,Jannis Niewöhner,2,1,2021,1992,1,NA,3,NA
lois,Lorna Ishema,1,2,2021,1989,1,1,2,NA
mebe21,Meret Becker,1,2,2021,1969,1,NA,3,NA
bimi21,Birgit Minichmayr,1,2,2021,1977,1,NA,2,NA
thme,Thorsten Merten,2,2,2021,1963,1,1,1,NA
hapr,Hary Prinz,2,2,2021,1965,1,NA,1,NA
mipe,Milan Peschel,2,2,2021,1968,1,NA,2,NA
toms,Tom Schilling,2,1,2021,1982,1,NA,2,NA
sebl21,Sebastian Blomberg,2,1,2021,1972,1,NA,2,NA
dars,Dar Salim,2,1,2021,1977,1,NA,1,NA
albs20a,Albrecht Schuch,2,1,2020,1985,1,1,2,NA
webu,Welket Bungué,2,1,2020,1988,1,NA,2,NA
jabu,Jan Bülow,2,1,2020,1996,1,NA,2,NA
heze,Helena Zengel,1,1,2020,2008,1,1,3,NA
anra,Anne Ratte-Polle,1,1,2020,1974,1,NA,1,NA
alse,Alina Serban,1,1,2020,1987,1,NA,2,NA
gama,Gabriela Maria Schmeide,1,2,2020,1965,1,1,2,NA
jeha20,Jella Haase,1,2,2020,1992,1,NA,3,NA
liha,Lisa Hagmeister,1,2,2020,1979,1,NA,2,NA
albs20b,Albrecht Schuch,2,2,2020,1985,1,1,2,NA
gogi,Godehard Giese,2,2,2020,1972,1,NA,2,NA
paal,Pasquale Aleardi,2,2,2020,1971,1,NA,2,NA
ogar,Ogulcan Arman Uslu,2,1,2020,1987,1,NA,NA,NA
suwo,Susanne Wolff,1,1,2019,1973,1,1,2,NA
aesc,Aenne Schwarz,1,1,2019,1983,1,NA,2,NA
luhe19a,Luise Heyer,1,1,2019,1985,1,1,2,NA
joda,Jonas Dassler,2,1,2019,1996,1,NA,2,NA
rabo19,Rainer Bock,2,1,2019,1954,1,NA,2,NA
alsc19,Alexander Scheer,2,1,2019,1976,1,1,3,NA
luhe19b,Luise Heyer,1,2,2019,1985,1,1,2,NA
mati,Margarethe Tiesel,1,2,2019,1959,1,NA,2,NA
evwe,Eva Weißenborn,1,2,2019,1954,1,NA,2,NA
alfe19,Alexander Fehling,2,2,2019,1981,1,1,2,NA
mawu,Martin Wuttke,2,2,2019,1962,1,NA,2,NA
olma19,Oliver Masucci,2,2,2019,1968,1,NA,2,NA
anun,Anna Unterberger,1,1,2019,1985,1,NA,1,NA
juwe,Julius Weckauf,2,1,2019,2007,1,NA,3,NA
mabä,Marie Bäumer,1,1,2018,1969,1,1,2,NA
dikr,Diane Kruger,1,1,2018,1976,1,NA,1,NA
kiri,Kim Riedle,1,1,2018,1982,1,NA,1,NA
frro18,Franz Rogowski,2,1,2018,1986,1,1,3,NA
anlu,Andreas Lust,2,1,2018,1967,1,NA,2,NA
olma18,Oliver Masucci,2,1,2018,1968,1,NA,2,NA
bimi18,Birgit Minichmayr,1,2,2018,1977,1,1,2,NA
coki,Corinna Kirchhoff,1,2,2018,1958,1,NA,2,NA
rogw,Robert Gwisdek,2,2,2018,1984,1,1,2,NA
chhü18,Charly Hübner,2,2,2018,1972,1,NA,2,NA
alfe18,Alexander Fehling,2,2,2018,1981,1,NA,2,NA
mene,Meinhard Neumann,2,1,2018,1968,1,1,3,NA
syalle,Syuleyman Alilov Letifov,2,1,2018,1965,1,1,NA,NA
rewe,Reinhardt Wetrek,2,1,2018,1971,1,1,1,NA
demo,Denis Moschitto,2,1,2018,1977,1,1,3,NA
sahü17,Sandra Hüller,1,1,2017,1978,1,1,2,NA
juje,Julia Jentsch,1,1,2017,1978,1,NA,2,NA
list,Lilith Stangenberg,1,1,2017,1988,1,NA,3,NA
pesi,Peter Simonischek,2,1,2017,1946,1,1,2,NA
laei,Lars Eidinger,2,1,2017,1976,1,NA,2,NA
brga,Bruno Ganz,2,1,2017,1941,1,NA,1,NA
frha,Fritzi Haberlandt,1,2,2017,1975,1,1,2,NA
sima,Sigrid Marquardt,1,2,2017,1924,1,NA,3,NA
evlö,Eva Löbau,1,2,2017,1972,1,NA,2,NA
gefr17,Georg Friedrich,2,2,2017,1966,1,1,2,NA
rabo17,Rainer Bock,2,2,2017,1954,1,NA,2,NA
mafe,Martin Feifel,2,2,2017,1964,1,NA,2,NA
bjmä,Bjarne Mädel,2,1,2017,1968,1,NA,2,NA
lauto,Laura Tonke,1,1,2016,1974,1,1,3,NA
liwe,Lina Wendel,1,2,2016,1965,1,NA,2,NA
anki,Anneke Kim Sarnau,1,2,2016,1972,1,NA,2,NA
jötr16,Jördis Triebel,2,1,2016,1977,1,NA,2,NA
roth,Rosalie Thomas,2,1,2016,1987,1,NA,3,NA
peku,Peter Kurth,2,1,2016,1957,1,1,2,NA
olma16,Oliver Masucci,2,1,2016,1968,1,NA,2,NA
